年,月,日,命数1,命数2,命数3
2000,5,29,24,22,28
2000,6,29,51,60,60
2000,7,29,21,22,26
2000,8,29,52,54,51
2000,9,29,29,22,25
2000,10,29,59,59,51
2000,11,29,30,24,25
2000,12,29,60,53,51
2000,1,30,29,23,28
2000,3,30,24,29,28
2000,4,30,51,51,60
2000,5,30,21,29,26
2000,6,30,52,59,51
2000,7,30,22,21,21
2000,8,30,59,51,51
2000,9,30,30,21,25
2000,10,30,60,60,51
2000,11,30,27,21,27
2000,12,30,57,52,57
2000,1,31,28,22,26
2000,3,31,21,28,26
2000,5,31,22,30,21
2000,7,31,29,30,25
2000,8,31,60,52,51
2000,10,31,57,57,58
2000,12,31,58,51,52
2001,1,1,5,10,10
2001,2,1,36,35,35
2001,3,1,56,54,52
2001,4,1,33,32,34
2001,5,1,3,5,10
2001,6,1,34,34,35
2001,7,1,4,3,5
2001,8,1,31,34,35
2001,9,1,2,6,9
2001,10,1,32,35,35
2001,11,1,9,1,1
2001,12,1,39,35,31
2001,1,2,6,9,5
2001,2,2,33,34,35
2001,3,2,3,1,10
2001,4,2,34,31,35
2001,5,2,4,6,5
2001,6,2,31,31,35
2001,7,2,1,2,9
2001,8,2,32,33,35
2001,9,2,9,3,1
2001,10,2,39,34,31
2001,11,2,10,2,10
2001,12,2,40,36,36
2001,1,3,3,8,9
2001,2,3,34,33,35
2001,3,3,4,2,5
2001,4,3,31,40,35
2001,5,3,1,3,9
2001,6,3,32,32,35
2001,7,3,2,1,9
2001,8,3,39,32,31
2001,9,3,10,4,10
2001,10,3,40,33,36
2001,11,3,7,9,8
2001,12,3,37,33,34
2001,1,4,4,7,9
2001,2,4,31,31,34
2001,3,4,1,9,9
2001,4,4,32,39,35
2001,5,4,2,4,9
2001,6,4,39,39,31
2001,7,4,9,10,1
2001,8,4,40,31,36
2001,9,4,7,1,8
2001,10,4,37,32,34
2001,11,4,8,10,9
2001,12,4,38,34,39
2001,1,5,8,6,8
2001,2,5,32,32,31
2001,3,5,4,10,10
2001,4,5,31,38,34
2001,5,5,1,1,8
2001,6,5,32,40,32
2001,7,5,10,9,10
2001,8,5,37,40,34
2001,9,5,8,2,9
2001,10,5,38,31,39
2001,11,5,5,7,9
2001,12,5,35,31,33
2001,1,6,7,5,2
2001,2,6,39,39,33
2001,3,6,1,7,8
2001,4,6,32,37,32
2001,5,6,2,2,1
2001,6,6,39,37,33
2001,7,6,9,7,7
2001,8,6,38,39,39
2001,9,6,5,9,9
2001,10,6,35,40,33
2001,11,6,6,8,9
2001,12,6,36,32,33
2001,1,7,6,4,7
2001,2,7,40,40,33
2001,3,7,2,8,2
2001,4,7,39,36,33
2001,5,7,9,9,7
2001,6,7,40,38,33
2001,7,7,10,7,7
2001,8,7,37,37,38
2001,9,7,8,10,10
2001,10,7,36,39,33
2001,11,7,15,15,18
2001,12,7,45,49,42
2001,1,8,5,3,7
2001,2,8,37,37,38
2001,3,8,9,5,7
2001,4,8,40,35,33
2001,5,8,10,10,7
2001,6,8,37,35,37
2001,7,8,7,6,7
2001,8,8,38,38,34
2001,9,8,15,17,18
2001,10,8,45,48,42
2001,11,8,16,16,15
2001,12,8,46,50,46
2001,1,9,4,2,7
2001,2,9,38,38,34
2001,3,9,10,6,7
2001,4,9,37,34,37
2001,5,9,7,7,8
2001,6,9,38,36,34
2001,7,9,8,5,10
2001,8,9,45,45,42
2001,9,9,16,18,16
2001,10,9,46,47,46
2001,11,9,13,13,17
2001,12,9,43,47,41
2001,1,10,3,1,10
2001,2,10,45,45,42
2001,3,10,7,3,7
2001,4,10,38,33,34
2001,5,10,8,8,10
2001,6,10,45,43,42
2001,7,10,15,14,18
2001,8,10,46,46,45
2001,9,10,13,15,17
2001,10,10,43,46,41
2001,11,10,14,14,17
2001,12,10,44,48,41
2001,1,11,12,20,18
2001,2,11,46,46,45
2001,3,11,8,4,10
2001,4,11,45,42,42
2001,5,11,15,15,18
2001,6,11,46,44,46
2001,7,11,16,13,16
2001,8,11,43,43,41
2001,9,11,14,16,17
2001,10,11,44,45,41
2001,11,11,11,11,12
2001,12,11,41,45,41
2001,1,12,11,19,16
